"Country Name","Country Code","Region","Income_Group",
"Aruba","ABW","","Revenu élevé : non OCDE",
"Afghanistan","AFG","Asie du Sud","Faible revenu",
"Angola","AGO","Afrique subsaharienne","Revenu intermédiaire, tranche supérieure",
"Albanie","ALB","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Andorre","AND","","Revenu élevé : non OCDE",
"Le monde arabe","ARB","","Agrégats",
"Émirats arabes unis","ARE","","Revenu élevé : non OCDE",
"Argentine","ARG","","Revenu élevé : non OCDE",
"Arménie","ARM","Europe et Asie centrale","Revenu intermédiaire, tranche inférieure",
"Samoa américaines","ASM","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Antigua-et-Barbuda","ATG","","Revenu élevé : non OCDE",
"Australie","AUS","","Revenu élevé : OCDE",
"Autriche","AUT","","Revenu élevé : OCDE",
"Azerbaïdjan","AZE","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Burundi","BDI","Afrique subsaharienne","Faible revenu",
"Belgique","BEL","","Revenu élevé : OCDE",
"Bénin","BEN","Afrique subsaharienne","Faible revenu",
"Burkina Faso","BFA","Afrique subsaharienne","Faible revenu",
"Bangladesh","BGD","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Bulgarie","BGR","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Bahreïn","BHR","","Revenu élevé : non OCDE",
"Bahamas","BHS","","Revenu élevé : non OCDE",
"Bosnie-Herzégovine","BIH","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Bélarus","BLR","Europe et Asie centrale","Revenu intermédiaire, tranche supérieure",
"Belize","BLZ","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Bermudes","BMU","","Revenu élevé : non OCDE",
"Bolivie","BOL","Amérique latine et Caraïbes","Revenu intermédiaire, tranche inférieure",
"Brésil","BRA","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Barbade","BRB","","Revenu élevé : non OCDE",
"Brunéi Darussalam","BRN","","Revenu élevé : non OCDE",
"Bhoutan","BTN","Asie du Sud","Revenu intermédiaire, tranche inférieure",
"Botswana","BWA","Afrique subsaharienne","Revenu intermédiaire, tranche supérieure",
"République centrafricaine","CAF","Afrique subsaharienne","Faible revenu",
"Canada","CAN","","Revenu élevé : OCDE",
"","CEB","","Agrégats",
"Suisse","CHE","","Revenu élevé : OCDE",
"Îles Anglo-Normandes","CHI","","Revenu élevé : non OCDE",
"Chili","CHL","","Revenu élevé : OCDE",
"Chine","CHN","Asie de l’Est et Pacifique","Revenu intermédiaire, tranche supérieure",
"Côte d'Ivoire","CIV","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Cameroun","CMR","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Congo, République démocratique du","COD","Afrique subsaharienne","Faible revenu",
"Congo, République du","COG","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Colombie","COL","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Comores","COM","Afrique subsaharienne","Faible revenu",
"Cabo Verde ","CPV","Afrique subsaharienne","Revenu intermédiaire, tranche inférieure",
"Costa Rica","CRI","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Petits états des Caraïbes","CSS","","Agrégats",
"Cuba","CUB","Amérique latine et Caraïbes","Revenu intermédiaire, tranche supérieure",
"Curacao","CUW","","Revenu élevé : non OCDE",
"Îles Caïmans","CYM","","Revenu élevé : non OCDE",
