"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554000000","666000000","726000000","786000000","782000000","850000000","825000000","835000000","858100000","1056000000","1097000000","1064100000","1213400000","1352300000","1223200000","1254100000","1357600000","1412100000","1511000000","","",
"Andorra","AND","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43000000","96000000","138000000","137000000","116000000","89000000","","",
"Angola","AGO","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27000000","38000000","24000000","39000000","31000000","34000000","35000000","51000000","63000000","82000000","103000000","91000000","236000000","293000000","554000000","726000000","653000000","711000000","1241000000","","",
"Albania","ALB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70400000","93800000","33600000","60230000","218000000","398000000","451000000","492000000","537000000","756000000","880000000","1057000000","1479000000","1848000000","2014000000","1780000000","1833000000","1623000000","1670000000","","",
"Arab World","ARB","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13068836996.4931","14521503564.6258","15038338138.5374","15068719786.4898","16589303938.5682","17285373898.2171","17788633052.885","22554158680.9976","27537333757.4289","34784721046.1975","37950162067.1826","43123403955.0975","52880260434.1198","59793795329.9752","60322432303.9329","69852262692.5049","61607688412.8741","67607414758.221","65790546870.5911","","",
"United Arab Emirates","ARE","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632000000","743000000","814000000","859000000","893000000","1063000000","1200000000","1332000000","1438000000","1593000000","3218000000","4972000000","6072000000","7162000000","7352000000","8577000000","9204000000","10380000000","11564000000","","",
"Argentina","ARG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550000000","2975000000","3153400000","3352800000","3175000000","3195000000","2756000000","1716000000","2306000000","2660000000","3209000000","3899000000","4984000000","5295000000","4476000000","5629000000","6060000000","5639000000","5032000000","","",
"Armenia","ARM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14000000","18000000","33000000","41000000","47000000","52000000","81000000","81000000","90000000","188000000","243000000","309000000","349000000","381000000","377000000","459000000","488000000","490000000","475000000","","",
"American Samoa","ASM","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247000000","258000000","278000000","282000000","290000000","291000000","272000000","274000000","300000000","337000000","309000000","327000000","338000000","334000000","305000000","298000000","312000000","319000000","299000000","","",
